Agency code	Agency title	Established Year	Disestablished Year
AAYN	New Zealand Embassy, Stockholm	2008	current
AAYY	Department of Scientific and Industrial Research, Residual Management Unit	1992	1993
AAZC	Napier Prison	1862	1993
AAZD	Nelson Chief Post Office	1842	1987
AAZW	Department of Industries and Commerce, Head Office	1920	1930
AAZZ	Transit New Zealand, National Office	1989	2008
ABAI	Department of Trade and Customs, Chatham Islands Office	1856	c. 1912
ABAO	State Insurance Limited, Christchurch Branch Office	1905	1990
ABAR	State Insurance Limited, Dunedin Branch Office	1905	1990
ABBI	New Zealand Customs Service, Nelson District Office	1845	current
ABBN	Customs Department, Blenheim District Office	? 1859	1986
ABBQ	New Zealand Permanent Mission to the World Trade Organisation, Geneva	1995	current
ABCJ	Department of Maori Affairs, Wanganui District Office	c. 1914	1989
ABCW	Napier Chief Post Office	1858	? 1987
ABCZ	New Zealand Fire Service, Region 3 Headquarters	1976	1995
ABDA	New Zealand Fire Service, Region 4 Headquarters	1976	1995
ABDC	Blenheim Chief Post Office	1860	? 1987
ABDE	Lower Hutt Post Office	1910	? 1987
ABDU	Taranaki Education Board, Residual Management Unit (RMU)	1989	? 1990
ABEP	Ministry of Education, National Office	1989	current
ABFB	Department of Survey and Land Information, Nelson District Office	1987	1996
ABFH	New Zealand Police, Hutt District Headquarters	1987	1997
ABFK	Headquarters New Zealand Defence Force	1989	current
ABFM	New Zealand Embassy, The Hague	1950	current
ABFX	National Assessments Bureau	1975	current
ABGX	Office of the Clerk of the House of Representatives	1988	current
ABHH	Department of Labour, Wanganui District Office	? 1898	1987
ABHS	Ministry of Foreign Affairs and Trade, Head Office	1988	current
ABIC	State Coal Mines, Head Office	1902	1987
ABIM	New Zealand Police, Lower Hutt Police Station	? 1917	current
ABIV	Ministry of Transport, Central Regional Office	1970	? 1992
ABJA	Department of Survey and Land Information, New Plymouth District Office	1987	1996
ABJE	New Zealand Milk Authority	1988	1993
ABJY	Office of the Ombudsmen, Wellington Office	1962	current
ABJZ	Te Puni Kokiri, Head Office	1992	current
ABKD	Department of Agriculture - Animal Health Division	1963	1972
ABKE	Employment Court of New Zealand, Wellington	1991	current
ABKH	Ministry of Women's Affairs	1985	current
ABKL	Ministry of Transport, Head Office	1992	current
ABKX	Civil Aviation Authority of New Zealand	1992	current
ABMF	MAF Quality Management, Head Office	1987	1998
ABMJ	Ministry of Agriculture and Fisheries - Fisheries Management Division	1972	1987
ABMK	Ministry of Agriculture and Fisheries - Fisheries Research Division	1972	1987
ABMM	Wallaceville Animal Research Centre	1905	2005
ABMT	Department of Corrections, Probation Service, Lower Hutt District Office	? 1886	current
ABNF	Batchelar Research Centre	? 1972	1992
ABNH	Land Titles Office, Wellington	1841	1996
ABNV	Transit New Zealand, Napier Regional Office	1989	2008
ABOV	Ministry of Transport, Road Transport Division	1968	1992
ABPA	Land Transport Safety Authority, Napier Regional Office	1993	2004
ABPE	Department of Justice, Corrections Operations Group, Wellington	? 1990	1995
ABPL	Maritime New Zealand, Head Office	1993	current
ABPV	Ministry of Transport, Maritime Transport Division	1972	1993
ABQO	New Zealand Embassy, Moscow 	1973	current
ABQU	Ministry of Health, Head Office	1993	current
ABRC	Parliamentary Counsel Office 	1920	current
ABRD	Child, Youth and Family, Nelson Office	1992	current
ABRG	Ministry of Cultural Affairs	1991	1999
ABRS	Ministry of Justice, Waitangi Tribunal Division	1988	current
ABRX	Te Puni Kokiri, Hastings	1992	current
ABSE	New Zealand High Commission, London	1904	current
ABSF	New Zealand Embassy, Manila 	1975	current
ABSH	New Zealand Embassy, Beijing 	1973	current
ABSJ	New Zealand High Commission, Kuala Lumpur	1959	current
ABSK	New Zealand High Commission, New Delhi	1958	current
ABSL	New Zealand High Commission, Port Moresby	1974	current
ABSQ	New Zealand Embassy, Tehran 	1975	current
ABST	New Zealand Trade Commission, Port-of-Spain Office	1958	1982
ABSV	New Zealand Embassy, Bangkok 	1956	current
ABSW	New Zealand Embassy, Berlin	1966	current
ABSY	New Zealand Embassy, Riyadh	1984	current
ABSZ	New Zealand Aid Office, Dar-es-Salaam	1975	1981
ABUS	Department of Corrections, Community Probation Service, Hawkes Bay-Gisborne Area Office	1997	current
ABUU	New Zealand Embassy, Vienna [I]	1973	1991
ABVE	Department of Building and Housing	1992	current
ABVF	Housing Corporation of New Zealand [II]	1992	2001
ABVG	Housing New Zealand Ltd, Corporate Office	1992	2001
ABVP	Ministry of Justice, Head Office	1995	current
ABVS	Department of Corrections, Head Office	1995	current
ABVX	Transport Accident Investigation Commission	1990	current
ABWB	Hawera Post Office	1868	1987
ABWE	Dunedin Chief Post Office	1848	? 1987
ABWH	Hokitika Post Office	1865	? 1987
ABWI	Invercargill Chief Post Office	1861	1987
ABWJ	Land Information New Zealand, Napier Branch Office	1996	2001
ABWK	Opotiki Post Office	1862	1987
ABWL	Office of Government Actuary	1996	2011
ABWN	Land Information New Zealand, National Office	1996	current
ABWQ	Child, Youth and Family, New Plymouth District Office	1992	current
ABWV	Child, Youth and Family, Wairoa District Office	1992	current
ABZD	Department of Social Security, Wanganui District Office	1939	1972
ABZI	Department of Education, Child Welfare Division, New Plymouth District Office	? 1948	1972
ABZM	Pongaroa Post Office	1895	1987
ABZN	Porangahau Post Office	1859	1987
ABZO	Rangiwahia Post Office	1893	1987
ABZP	Ratana Pa Post Office	1926	1987
ABZQ	Rongotea Post Office	1880	1987
ABZR	Shannon Post Office	1887	1987
ABZS	Stratford Post Office	1878	1987
ABZT	Waipawa Post Office	1859	1987
ABZU	Woodville Post Office	1876	1987
ABZV	Waiouru Post Office	1900	1987
ABZW	Whangamomona Post Office	1895	1987
ABZX	Weber Post Office	1889	1972
ABZY	Kaponga Post Office	1887	1987
ABZZ	Raetahi Post Office	1894	1987
ACAA	Waitara Post Office	1861	1987
ACAB	Waverley Post Office	1876	1987
ACAC	Kimbolton Post Office	1899	1987
ACAD	Kilbirnie Post Office	1900	1987
ACAE	Apiti Post Office	1889	1987
ACAF	Ashhurst Post Office	1879	1987
ACAG	Bulls Post Office	1872	1987
ACAH	Carterton Post Office	1861	1987
ACAI	Eketahuna Post Office	1876	1987
ACAJ	Eltham Post Office	1884	1987
ACAK	Foxton Post Office	1871	1987
ACAL	Featherston Post Office	1867	1987
ACAM	Greytown Post Office	1858	1987
ACAN	Halcombe Post Office	1876	1987
ACAO	Herbertville Post Office	1861	1987
ACA[	Hunterville Post Office	1885	1987
ACAQ	Inglewood Post Office	1875	1987
ACAR	Manaia Post Office	1880	1987
ACAS	Mahia Post Office	1862	? 1987
ACAT	Martinborough Post Office	1888	1987
ACAU	Mangaweka Post Office	1896	1987
ACAV	Mauriceville West Post Office	1876	1941
ACAW	Newman Post Office	1888	1915
ACAX	Norsewood Post Office	1874	1987
ACAY	Opunake Post Office	1870	1987
ACAZ	Otaki Post Office	1854	1987
ACBA	Otane Post Office	1884	1987
ACBB	Patea Post Office	1867	1987
ACBC	Pahiatua Post Office	1881	1987
ACBD	Paraparaumu Post Office	1888	1987
ACBE	Petone Post Office	1878	1987
ACBF	Ohakune Post Office	1894	1987
ACBR	Department of Corrections, Community Probation Service, Gisborne Office	? 1886	current
ACCA	Education Review Office, Wellington Office	1989	current
ACCC	Ministry of Economic Development, Napier Regional Office	1997	2012
ACCO	Ministry of Agriculture, Head Office	1995	1998
ACCP	Ministry of Fisheries, Head Office	1995	current
ACCQ	Ministry of Agriculture and Forestry, Head Office	1998	current
ACCS	Ministry of Agriculture and Fisheries - Animal Health Division	1972	1987
ACCW	Ministry of Social Development	2001	current
ACDT	Takapau Post Office	1877	1987
ACEU	Mohaka Post Office	1859	? 1987
ACEV	Nuhaka Post Office	1892	1987
ACEW	Courtenay Place Post Office, Wellington	1897	1987
ACFD	Department of Work and Income, National Office	1998	2001
ACGE	Department of Tourist and Health Resorts, Sydney Office	1906	1909
ACGN	New Zealand Permanent Mission to the Office of the United Nations, Geneva	1961	current
ACHL	Public Works Department 	? 1842	? 1981
ACHN	Ministry of Research, Science and Technology	1989	2011
ACIU	Wellington Prison	1920	current
ACJB	National Centre for Biosecurity and Infectious Disease	2005	current
ACJV	Department of Education, Child Welfare Division, Palmerston North District Office	? 1936	1972
ACJW	Department of Education, Child Welfare Division, Blenheim District Office	? 1948	1972
ACJX	Department of Education, Child Welfare Division, Lower Hutt District Office	? 1948	1972
ACJZ	Department of Education, Child Welfare Division, Wairoa District Office	? 1964	1972
ACKA	Department of Education, Child Welfare Division, Wanganui District Office	? 1944	1972
ACKB	Department of Education, Child Welfare Division, Hastings District Office	? 1963	1972
ACKC	Department of Education, Child Welfare Division, Masterton District Office	? 1948	1972
ACKD	Department of Social Welfare, Wairoa District Office	1972	1992
ACKE	Department of Social Welfare, Blenheim District Office	1972	1992
ACKF	Department of Social Welfare, Hastings District Office	1972	1992
ACKG	Department of Social Welfare, Napier District Office	1972	1992
ACKH	Department of Education, Child Welfare Division, Nelson District Office	? 1948	1972
ACKJ	Department of Education, Special and Industrial Schools Branch	1880	1925
ACKK	Department of Education, Child Welfare Branch, National Office	1925	1948
ADAJ	New Zealand Broadcasting Service, Dunedin 	1936	1962
ADAX	Headquarters Joint Forces New Zealand	2001	current
ADBG	Land Office, Canterbury	1853	1892
ADBJ	Survey Office, Canterbury	1853	1891
ADBP	Industry New Zealand, Head Office	2000	2003
ACBT	Community Probation Service, Auckland 	? 1886	current
ADBU	Auckland Prison	1968	current
ADBY	Blenheim High Court	? 1876	current
ADCP	Land Information New Zealand, Invercargill Branch Office	1996	2001
ADFI	Securities Commission	1979	2011
ADFM	MAF Biosecurity New Zealand	1999	current
ADFO	Electoral Commission	1993	current
ADFP	Environmental Risk Management Authority	1996	2011
ADFQ	Health Sponsorship Council	1990	current
ADFS	Office of the Children's Commissioner	1989	current
ADFU	New Zealand Trade and Enterprise	2003	current
ADFV	Tertiary Education Commission	2003	current
ADKP	Mental Health Commission	1996	2012
ADKQ	Broadcasting Commission	1989	current
ADKS	Ministry of Pacific Island Affairs, Head Office	1990	current
ADKU	Veterans' Affairs New Zealand 	1999	current
ADLQ	Building Industry Authority	1986	2004
ADLR	Aviation Security Service, National Office	1976	current
ADLU	MAF Quarantine Service, National Office	1998	2007
ADMB	New Zealand Blood Service, National Office	1998	current
ADMF	Office of the Retirement Commissioner	1993	current
ADMG	Pharmaceutical Management Agency	2001	current
ADMH	Police Complaints Authority 	1989	2007
ADMJ	Government Superannuation Fund Authority	2001	current
ADMK	Health and Disability Commissioner, Auckland Office	1994	current
ADMO	New Zealand Security Intelligence Service, Head Office	1956	current
ADMP	Drug Free Sports New Zealand	1995	current
ADMU	Remuneration Authority	1974	current
ADMW	Te Taura Whiri i Te Reo Maori	1987	current
ADMY	Office for Disability Issues	2002	current
ADMZ	Office for Senior Citizens	2002	current
ADND	Careers New Zealand	1990	current
ADNH	Energy Efficiency and Conservation Authority, Head Office	1992	current
ADNI	New Zealand Fish and Game Council 	1990	current
ADNP	Sport and Recreation New Zealand	2002	current
ADNV	Ministry of Tourism II	2002	current
ADNW	Electrical Workers Registration Board	1992	current
ADNX	Ministry for Culture and Heritage	1999	current
ADNZ	Alcohol Advisory Council of New Zealand, National Office	1976	current
ADOA	New Zealand Teachers Council	2002	current
ADOD	Human Rights Commission, Wellington Office	1978	current
ADOM	Electricity Department 	? 1912	? 1983
ADQU	Commissions of Inquiry 	? 1911	? 1985
ADRD	Child, Youth & Family, Royal Oak Service Delivery Unit	1992	current
ADSL	New Zealand Electricity Department, Dunedin District Office	c. 1946	1978
ADSR	Electricity Commission	2003	2010
ADSW	Families Commission	2004	current
ADTL	Television New Zealand Limited, Dunedin 	1988	current
ADUB	Lyttelton Magistrate's Court	c. 1846	1979
ADXV	MAF Operations Group, Head Office	1998	2004
ADXX	Ministry of Agriculture and Fisheries (MAF), MAF Policy, Head Office	1993	1995
ADYF	National Dairy Laboratory, Ruakura 	1974	1988
ADYM	Lands and Survey Department, Alexandra District Office	c. 1926	1987
ADYV	Land Titles Office, Nelson	1841	1996
ADZD	Department of Conservation, Warkworth Area Office	1987	current
ADZP	Land Transport New Zealand, National Office	2004	2008
ADZW	Ministry of Works and Development, Palmerston North Residency	? 1872	c. 1988
AEAE	New Zealand Forest Service, Te Anau Office	unknown	1987
AEAT	New Zealand Forest Service, Berwick Station	1946	? 1987
AEAU	New Zealand Forest Service, Glendhu Office	unknown	? 1987
AEBU	Hawkes Bay Prison	1989	current
AECP	Department of Agriculture, Industries and Commerce, Auckland Office	1913	1919
AEDB	Department of Conservation, Tuatapere Office	1987	? 2000
AEDD	New Zealand Forest Service, Silverpeaks Forest Headquarters	? 1965	1987
AEDO	Stamp Duties Office, New Plymouth District Office 	1867	1952
AEDV	Registrar of Joint Stock Companies - New Plymouth	? 1860	1878
AEDX	New Zealand Police, Akaroa	1840	current
AEEQ	Stamp Duties Office, Nelson District Office	1867	1952
AEET	Department of Conservation, Northern Regional Office I	1987	1989
AEEU	Department of Conservation, Northern Regional Office II	1997	current
AEHH	Public Works Department, Napier 	? 1859	? 1945
AEHI	Public Works Department, Nelson 	? 1865	? 1920
AEHJ	Public Works Department, Palmerston North 	unknown	unknown
AEHK	Ministry of Works and Development, Tauranga District Office 	? 1910	? 1947
AEHL	Ministry of Works, Wanganui (Architectural Branch) 	? 1895	? 1955
AEHM	Public Works Department, Wellington 	? 1883	? 1964
AEIY	New Zealand Police, Rangiora	c. 1861	current
AEJP	Official Assignee's Office, Hamilton	? 1919	1975
AEJW	Community Probation Service, Central Regional Office	? 1985	current
AEKN	Department of Scientific and Industrial Research 	? 1864	? 1984
AELG	Community Probation Service, Northern Regional Office	? 1985	current
AELH	Community Probation Service, Manukau Area Office	1997	current
AELI	Department of Agriculture, Head Office 	? 1893	? 1983
AELJ	Department of Agriculture, Palmerston North Office 	? 1929	? 1973
AELP	Valuation Department 	? 1893	? 1987
AELR	Valuation Department - Blenheim District Office 	? 1967	? 1971
AELU	Valuation Department, Napier District Office 	? 1900	? 1981
AELV	Valuation Department, New Plymouth District Office 	? 1902	? 1971
AELW	Valuation Department, Nelson District Office 	? 1904	? 1970
AELX	Valuation Department, Palmerston North District Office 	? 1962	? 1983
AELY	Valuation Department, Porirua District Office 	? 1968	? 1972
AELZ	Department of Lands and Survey, Westport Office	? 1930	1987
AEMT	New Zealand Council for Recreation and Sport	1973	1987
AENF	Community Probation Service, Waitakere Service Centre	unknown	current
AENV	Community Probation Service, Auckland Area Office	1997	current
AEOV	Abortion Supervisory Committee	? 1978	current
AEOX	Mount Cook National Park Headquarters	c. 1950	1987
AEPA	Department of Lands and Survey, Chief Drainage Engineer's Office, Kerepehi	1907	c. 1953
AEPB	New Zealand National Airways Corporation, Head Office	1946	1978
AEPC	Community Probation Service, Tai-tokerau Area Office	1997	current
AEPF	Department of Lands and Survey, Clifden Ranger Station	1980	1987
AEPQ	Department of Scientific and Industrial Research - Plant Protection Substation, Lincoln	1990	1992
AEPR	Department of Scientific and Industrial Research - Industrial Development Division, Christchurch	1990	1992
AEQN	Government Life Insurance Office	1869	1990
AEQO	Headquarters New Zealand Permanent Force	1886	1911
AEQR	Kaikoura District Court	c. 1875	current
AEQW	New Zealand Market Development Board	1986	1988
AEQY	Department of Social Welfare, Wellington District Office	1972	1992
AEQZ	New Zealand Debt Management Office	1988	current
AERC	Land Titles Office, Napier	? 1841	1996
AERD	Air Services Licensing Authority	1952	1990
AERH	Alexandra Warden's Court (II)	1972	1973
AERJ	Land Transport New Zealand, Auckland Regional Office	2004	2008
AERK	Land Transport New Zealand, Christchurch Regional Office	2004	2008
AERL	Land Transport New Zealand, Dunedin Regional Office	2004	2008
AERM	Land Transport New Zealand, Hamilton Regional Office	2004	2008
AERN	Land Transport New Zealand, Napier Regional Office	2004	2008
AERO	Land Transport New Zealand, Palmerston North Regional Office	2004	2008
AERP	Land Transport New Zealand, Queenstown Regional Office	2004	2008
AERQ	Land Transport New Zealand, Wellington Regional Office	2004	2008
AERR	Department of Corrections, Probation Service, Upper Hutt District Office	? 1886	current
AERS	Waihi Crossing Resident Magistrate's Court	unknown	unknown
AERZ	Sheffield/Coalgate Magistrate's Courts	c. 1876	c. 1895
AESQ	Headquarters Royal New Zealand Artillery	1886	1947
AESR	National Infrastructure Unit	2009	current
AESU	Dunedin Prison	1848	2007
AESV	Housing New Zealand Corporation	2001	current
AESW	Department of Agriculture - Horticulture Division	1909	1971
AETA	Headquarters Land Command	1998	2001
AETB	Land Information New Zealand Hokitika Office	c. 1996	c. 2003
AETN	Police Special Branch	1948	1956
AETO	Ministry of Energy, Electricity Division, Hamilton District Office	1978	1987
AETP	Ministry of Energy, Electricity Division, Napier District Office	1978	1987
AETQ	Ministry of Energy, Electricity Division, Palmerston North District Office	1978	1987
AETR	Ministry of Energy, Electricity Division, Nelson District Office	1978	1987
AETS	Ministry of Energy, Electricity Division, Christchurch District Office	1978	1987
AETX	Department of Conservation, Owaka Field Office	1987	current
AEUH	Navy Department	1914	1964
AEUW	Department of Conservation, Murihiku Area Office	1987	current
AEUY	Supreme Court of New Zealand	2004	current
AEVR	New Zealand Kiwifruit Authority, Head Office	1977	1988
AEVX	New Zealand Transport Agency, Whangarei Office	2008	current
AEVY	New Zealand Transport Agency, Auckland Office	2008	current
AEVZ	New Zealand Transport Agency, Hamilton Office	2008	current
AEWA	New Zealand Transport Agency, Tauranga Office	2008	current
AEWB	New Zealand Transport Agency, Napier Office	2008	current
AEWC	New Zealand Transport Agency, Wanganui Office	2008	current
AEWD	New Zealand Transport Agency, Palmerston North Office	2008	current
AEWE	New Zealand Transport Agency, Wellington Office	2008	current
AEWF	New Zealand Transport Agency, Blenheim Office	2008	current
AEWG	New Zealand Transport Agency, Christchurch Office	2008	current
AEWH	New Zealand Transport Agency, Dunedin Office	2008	current
AEWI	Transit New Zealand, Northland Office	c. 2003	2008
AEWJ	Transit New Zealand, Marlborough Roads Office	c. 2003	2008
AEWK	Transit New Zealand, Tauranga Office	c. 2003	2008
AEWL	Transit New Zealand, Wanganui Regional Office	1989	2008
AEWM	Transit New Zealand, Wellington Regional Office	1989	2008
AEWO	Centre for Critical Infrastructure Protection	2002	current
AEWP	Tangimoana Interception Station	1982	current
AEWQ	Waihopai Interception Station	1989	current
AEWT	Department of Agriculture - Meat Division	1963	1972
AEYA	Discharged Soldiers' Information Department, Head Office	1915	1919
AEYB	Repatriation Department, Head Office	1919	1922
AEYE	Land and Income Tax Department, Head Office	1878	1952
AEYN	Department of Social Welfare, Kaitaia District Office	1972	1992
AEYR	Inspector-General of Intelligence and Security	1996	current
AEYU	Commissioner of Security Warrants	1999	current
AEYV	Commissioner of Security Appeals	1969	1996
AEYW	Environmental Protection Authority	2009	2011
AEYX	National Water and Soil Conservation Authority	1968	1988
AEZD	Real Estate Agents Authority	2009	current
AEZI	Coronial Services of New Zealand, National Office	2007	current
AEZJ	Coronial Services of New Zealand, Auckland Regional Office	2007	current
AEZK	Coronial Services of New Zealand, Christchurch Regional Office	2007	current
AEZN	Government Superannuation Fund	1948	1998
AFAH	Department of Agriculture, Industries, and Commerce - Fields Division	1909	1918
AFAI	Department of Agriculture - Animal Industry Division	1909	1963
AFAJ	Department of Agriculture - Dairy Division	1909	1972
AFAZ	Marine Department - Fisheries Research Division	1964	1972
AFBA	Marine Department - Fisheries Management Division	1964	1972
AFBF	Ministry of Agriculture and Fisheries - Agricultural Research Division	1972	1987
AFBG	Occupational Safety and Health Service, Northern Regional Office	c. 1991	current
AFBH	Occupational Safety and Health Service, Manukau Area Office	1988	c. 1991
AFBO	Department of Imperial Government Supplies, Head Office	1915	1922
AFCP	Department of Agriculture - Sheep and Wool Division	1966	1969
AFCQ	Department of Agriculture - Animal Research Division	1939	1960
AFCR	Ministry of Agriculture and Fisheries - Meat Division	1972	1987
AFCS	Department of Agriculture - Economics Division	1970	1972
AFCT	Department of Agriculture - Agricultural Research Division	1964	1972
AFDB	Career Services, Whangarei Regional Office	1990	current
AFDC	The Careers Service, Kaitaia Sub-Office	1990	1996
AFDD	Career Services, Waitemata Regional Office	1996	current
AFDE	Career Services, Manukau City Regional Office	1996	current
AFDF	Career Services, Hamilton Regional Office	1990	current
AFDG	Career Services, Rotorua Regional Office	1990	current
AFDH	The Careers Service, Tauranga Office	1990	1996
AFDI	Career Services, Napier Regional Office	1990	current
AFDJ	Career Services, Gisborne Sub-Office	c. 2000	current
AFDK	Career Services, Palmerston North Regional Office	1990	current
AFDL	Career Services, New Plymouth Sub-Office	1990	current
AFDM	Career Services, Wellington Regional Office	1990	current
AFDN	Career Services, Nelson Regional Office	1990	current
AFDO	Career Services, Greymouth Sub-Office	1990	current
AFDP	Career Services, Christchurch Regional Office	1990	current
AFDQ	Career Services, Timaru Sub-Office	c. 2005	current
AFDR	Career Services, Dunedin Regional Office	1990	current
AFDS	Career Services, Invercargill Sub-Office	1990	c. 2005
AFDU	The Careers Service, Papatoetoe Regional Office	1990	1996
AFDV	The Careers Service, Waitakere Sub-Office	1990	1996
AFDW	Career Services, Kaitaia Sub-Office	c. 2005	current
AFDX	Career Services, Waitakere Sub-Office	c. 2007	current
AFDY	Career Services, Tauranga Sub-Office	c. 1999	current
AFDZ	The Careers Service, Auckland Central Sub-Office	1990	1996
AFEB	The Careers Service, Taupo Sub-Office	1993	1996
AFEC	The Careers Service, Wanganui Sub-Office	1990	1996
AFED	The Careers Service, Otaki Sub-Office	1990	c. 1993
AFEE	The Careers Service, Blenheim Sub-Office	1990	1996
AFEF	The Careers Service, Timaru Sub-Office	1990	c. 1998
AFEP	Department of Defence	1863	1937
AFEQ	Headquarters, Central Military District	1911	1970
AFER	Ministry of Agriculture and Fisheries - Christchurch Regional Office	1972	1987
AFET	Colonial Secretary's Office - Militia Branch	1860	1862
AFEU	Deputy Adjutant-General's Office	1859	1865
AFEV	Lyttelton Detachment Royal New Zealand Artillery	c. 1886	c. 1947
AFEW	Co-operative Dairy Companies Tribunal	1949	1997
AFFC	Valuation Department, Gisborne District Office	? 1905	? 1955
AFFF	Department of Agriculture - Fields Division	1923	1948
AFFG	Department of Agriculture - Rural Development Division	1944	1948
AFFH	Department of Agriculture - Farm Advisory Division	1948	1971
AFFK	Ministry of Agriculture and Fisheries - Dairy Division	1972	1987
AFFU	New Zealand High Commission, Canberra	1943	current
AFFV	Agriculture Quarantine Service	1960	1987
AFFW	New Zealand Embassy, Paris 	1949	current
AFFX	Ministry of Agriculture and Fisheries - Economics Division	1972	1987
