title	url	agency	description	format	update_frequency	cost	license
08 New Plymouth 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3734-08-new-plymouth-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
09 Taumarunui 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3736-09-taumarunui-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
10 Napier 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3737-10-napier-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
11 Gisborne 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3738-11-gisborne-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
12 Mile Territorial Sea Limit Basepoints	https://data.linz.govt.nz/layer/845-12-mile-territorial-sea-limit-basepoints/	Land Information New Zealand	<p>New Zealand Territorial Seas</p><p>The territorial sea is the belt of sea adjacent to the coast out to a distance of 12 nautical miles from prescribed baselines over which New Zealand, as the coastal state, has the same rights of sovereignty that it exercises over its land territory subject to the right of innocent passage (and transit passage through any straits used for international navigation) of ships of other states. 'Innocent passage' excludes fishing activities.</p><p>Maritime Boundary Definitions:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries/definitions#zones">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p><p>Further References:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
12 Mile Territorial Sea Outer Limit	https://data.linz.govt.nz/layer/846-12-mile-territorial-sea-outer-limit/	Land Information New Zealand	<p>New Zealand Territorial Seas</p><p>The territorial sea is the belt of sea adjacent to the coast out to a distance of 12 nautical miles from prescribed baselines over which New Zealand, as the coastal state, has the same rights of sovereignty that it exercises over its land territory subject to the right of innocent passage (and transit passage through any straits used for international navigation) of ships of other states. 'Innocent passage' excludes fishing activities.</p><p>Maritime Boundary Definitions:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries/definitions#zones">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p><p>Further References:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
12 Takaka 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3739-12-takaka-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
13 Nelson 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3740-13-nelson-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
14 Palmerston North 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3741-14-palmerston-north-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
15 Dannevirke 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3742-15-dannevirke-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
16 Wellington 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3743-16-wellington-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZDEM_SoS_v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
16s Wellington 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3744-16s-wellington-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
17 Greymouth 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3745-17-greymouth-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
18 Murchison 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3746-18-murchison-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
1893 Women’s Suffrage Petition	http://archives.govt.nz/has/open-data/1893-womens-suffrage-petition	Department of Internal Affairs	When Governor Glasgow signed the Electoral Bill on 19 September 1893, New Zealand became the first self-governing nation in the world where women had won the right to vote. The Bill was the outcome of years of meetings in towns and cities across the country, with women often travelling considerable distances to hear lectures and speeches, pass resolutions and sign petitions. A number of petitions were presented to both Houses of Parliament from the early 1880s till 1893. Only two of these historically important documents are known to have survived and both are preserved at Archives New Zealand.The 1893 Women's Suffrage Petition [Archives Ref:Le1 1893/7a] and this dataset contains the signatories given names/title, surname, given address, city/region and a notes field which for example may name a witness for those who signed as X because they were illiterate.	Spreadsheet	Other-Unknown	No	Other licensing (check with source agency)
19 Kaikoura 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3747-19-kaikoura-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
1900 Thomas Ward Maps	https://koordinates.com/layer/4233-1900-thomas-ward-maps/	Wellington City Council	<p>Thomas Ward - Authorised Surveyors: Map of the City of Wellington - January 1891- clipped, georeferenced and rectified in July 2011<br /></p><p>Thomas Ward, a licensed surveyor and civil engineer, was contracted in 1889 to produce a detailed map of Wellington central city.<br /></p><p>Over three years, Ward collected information and compiled it into scale map tiles.<br /></p><p>The maps show legal boundaries of properties and streets, buildings and what they were constructed of, street-lamp and fireplug locations.<br /></p><p>The Thomas Ward survey map provides much information about early Wellington. Where building records are not complete, the map is useful for discovering whether present-day buildings were in existence before 1892. It also hints at the nature of the late 19th century city where high-density housing is evident in some parts.<br /></p><p>The rectification of the Thomas Ward maps was completed by the GIS Operations Team at Wellington City Council.  As the scanned images had some skew, the rectification process was unable to be carried out to a high level of accuracy.  The quality of the rectification of the images also depends on the accuracy of the 2011 cadastre vector data which was used as base data as well as the content coverage of the maps to find sufficient and reliable reference points.<br />Please note that a best-fit recitfication over each individual map sheet was attempted, so generally the whole sheet is located correctly, but accuracy of features at any particular location may be slightly misaligned.<br /></p><p>The geofereferenced Thomas Ward maps should only be used as a guide as to the location of historic features.<br /></p>	kml/shp,other geo	Other-Unknown	Yes	Creative Commons Attribution 3.0 licence
1996 Census data	http://www.stats.govt.nz/Census/1996-census-data.aspx	Statistics New Zealand	Every five years Statistics New Zealand makes an official count of the population and dwellings in New Zealand. Statistics New Zealand conducted the 1996 Census of Population and Dwellings on Tuesday, 5 March 1996.	CSV,Spreadsheet,PDF,Other	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
20 Martins Bay 15m DEM (NZSoSDEM v1.0)	https://koordinates.com/layer/3749-20-martins-bay-15m-dem-nzsosdem-v10/	University of Otago - National School of Surveying	<p>NZSoSDEM v1.0 is a Digital Elevation Model (DEM) covering the whole of New Zealand at a spatial resolution of 15m, created by the School of Surveying by interpolating LINZ topographic vector data.<br /></p><p>The DEM was created as a series of 30 maps which extent correspond exactly with the LINZ Topo250 topographic map series.  Smaller regions can thus be obtained individually but also fit together seamlessly to create a full countrywide DEM.<br /></p><p>The accuracy of this product was comprehensively assessed using a statistically sound selection of 3791 check points throughout the country. The comparison of results with other available country-wide DEM demonstrate an improvement of NZDEM_SoS_v1.0 in terms of quality that comes in addition with a finer spatial resolution.<br /></p><p>A full description of the interpolation/assessment process can be found in the attached documentation: Columbus, J.; Sirguey, P. & Tenzer, R. (2011), 'A free, fully assessed 15-m DEM for New Zealand', Survey Quarterly 66, 16-19.<br /></p>	other geo,api	Other-Unknown	No	Creative Commons Attribution-Share Alike 3.0 licence
200 Mile Exclusive Economic Zone Outer Limits	https://data.linz.govt.nz/layer/842-200-mile-exclusive-economic-zone-outer-limits/	Land Information New Zealand	<p>New Zealand Exclusive Economic Zone<br /></p><p>The exclusive economic zone (EEZ) is a zone extending from the outer limits of the territorial sea to a distance of 200 nautical miles from the baselines of the territorial sea in which New Zealand, as the coastal state, has sovereign rights over the living and non living resources of the sea and seabed and other states have certain freedoms, including the freedoms of navigation and overflight.<br /></p><p>Maritime Boundary Definitions:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries/definitions#zones">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a><br /></p><p>Further References:<br /><a href="http://www.linz.govt.nz/hydro/nautical-info/maritime-boundaries">www.linz.govt.nz/hydro/nautical-info/maritime-boun...</a></p>	csv,kml/shp,other geo,api	Other-Unknown	No	Creative Commons Attribution 3.0 New Zealand licence
